wl,reference,5,10,15,30,50,70,p3ht
541.253,0.5291,,,,,,,
541.29569,,,,,,,,1.04425
541.3,,1.064,0.9823,1.063,0.9728,0.8954,0.8888,
542.1465599999999,,,,,,,,1.0414
542.15,,1.064,0.9808,1.063,0.9709,0.8928,0.8861,
542.17,0.5291,,,,,,,
542.99743,,,,,,,,1.04123
543.0,,1.064,0.979,1.063,0.9691,0.8902,0.8835,
543.088,0.5291,,,,,,,
543.84831,,,,,,,,1.03771
543.85,,1.063,0.9771,1.063,0.9672,0.8874,0.8807,
544.006,0.5291,,,,,,,
544.69918,,,,,,,,1.02904
544.7,,1.063,0.975,1.062,0.9651,0.8846,0.8779,
544.924,0.5292,,,,,,,
545.55,,1.061,0.9729,1.061,0.963,0.8819,0.8752,
545.55005,,,,,,,,1.0231
545.841,0.5291,,,,,,,
546.4,,1.06,0.9709,1.06,0.961,0.8795,0.8726,
546.40092,,,,,,,,1.02341
546.759,0.529,,,,,,,
547.25,,1.059,0.9691,1.059,0.9591,0.8774,0.8702,
547.25179,,,,,,,,1.02408
547.677,0.5289,,,,,,,
548.1,,1.058,0.9675,1.058,0.9572,0.8755,0.8679,
548.10266,,,,,,,,1.0209
548.594,0.5288,,,,,,,
548.95,,1.058,0.9658,1.057,0.9552,0.8736,0.8655,
548.9535400000001,,,,,,,,1.01637
549.512,0.5287,,,,,,,
549.8,,1.058,0.9642,1.055,0.9531,0.8716,0.8631,
549.80441,,,,,,,,1.0128700000000002
550.43,0.5286,,,,,,,
550.65528,,,,,,,,1.00786
550.66,,1.058,0.9624,1.054,0.951,0.8696,0.8605,
551.348,0.5285,,,,,,,
551.50615,,,,,,,,1.00063
551.51,,1.059,0.9608,1.053,0.949,0.8675,0.8579,
552.265,0.5284,,,,,,,
552.35702,,,,,,,,0.99549
