,Wavenumber,Absorbance,film
599,977.072,1.1320000000000001,doped PBTTT
600,978.0360000000001,1.125,doped PBTTT
601,979.0,1.119,doped PBTTT
602,979.9639999999999,1.113,doped PBTTT
603,980.929,1.107,doped PBTTT
604,981.893,1.101,doped PBTTT
605,982.857,1.094,doped PBTTT
606,983.821,1.088,doped PBTTT
607,984.7860000000001,1.08,doped PBTTT
608,985.75,1.073,doped PBTTT
609,986.7139999999999,1.0659999999999998,doped PBTTT
610,987.678,1.0590000000000002,doped PBTTT
611,988.643,1.053,doped PBTTT
612,989.607,1.048,doped PBTTT
613,990.571,1.043,doped PBTTT
614,991.535,1.038,doped PBTTT
615,992.4989999999999,1.033,doped PBTTT
616,993.4639999999999,1.0290000000000001,doped PBTTT
617,994.428,1.024,doped PBTTT
618,995.3919999999999,1.0190000000000001,doped PBTTT
619,996.3560000000001,1.013,doped PBTTT
620,997.321,1.006,doped PBTTT
621,998.285,1.0,doped PBTTT
622,999.2489999999999,0.9948,doped PBTTT
623,1000.2130000000001,0.9895,doped PBTTT
624,1001.178,0.9843,doped PBTTT
625,1002.1419999999999,0.9786,doped PBTTT
626,1003.1060000000001,0.9722,doped PBTTT
627,1004.07,0.9653,doped PBTTT
628,1005.035,0.9581,doped PBTTT
629,1005.9989999999999,0.9511,doped PBTTT
630,1006.9630000000001,0.9447,doped PBTTT
631,1007.927,0.9391,doped PBTTT
632,1008.8910000000001,0.9342,doped PBTTT
633,1009.8560000000001,0.9298,doped PBTTT
634,1010.82,0.9258,doped PBTTT
635,1011.784,0.9218,doped PBTTT
636,1012.748,0.9178,doped PBTTT
637,1013.7130000000001,0.9134,doped PBTTT
638,1014.677,0.9087,doped PBTTT
639,1015.6410000000001,0.9036,doped PBTTT
640,1016.605,0.8984,doped PBTTT
641,1017.57,0.8931,doped PBTTT
642,1018.534,0.8882,doped PBTTT
643,1019.498,0.8836,doped PBTTT
644,1020.462,0.8795,doped PBTTT
645,1021.426,0.8759,doped PBTTT
646,1022.3910000000001,0.8726,doped PBTTT
647,1023.355,0.8695,doped PBTTT
648,1024.319,0.8662,doped PBTTT
649,1025.2830000000001,0.8624,doped PBTTT
650,1026.248,0.858,doped PBTTT
651,1027.212,0.8528,doped PBTTT
652,1028.1760000000002,0.8472,doped PBTTT
653,1029.14,0.8414,doped PBTTT
654,1030.105,0.8357,doped PBTTT
655,1031.069,0.8304,doped PBTTT
656,1032.0330000000001,0.8252,doped PBTTT
657,1032.997,0.8202,doped PBTTT
658,1033.962,0.815,doped PBTTT
659,1034.9260000000002,0.8097,doped PBTTT
660,1035.89,0.8042,doped PBTTT
661,1036.854,0.7987,doped PBTTT
662,1037.818,0.7932,doped PBTTT
663,1038.7830000000001,0.7876,doped PBTTT
664,1039.747,0.7821,doped PBTTT
665,1040.711,0.7764,doped PBTTT
666,1041.675,0.7707,doped PBTTT
667,1042.64,0.765,doped PBTTT
668,1043.604,0.7593,doped PBTTT
669,1044.568,0.7536,doped PBTTT
670,1045.532,0.748,doped PBTTT
671,1046.497,0.7426,doped PBTTT
672,1047.461,0.7371,doped PBTTT
673,1048.425,0.7318,doped PBTTT
674,1049.389,0.7265,doped PBTTT
675,1050.353,0.7212,doped PBTTT
676,1051.318,0.7162,doped PBTTT
677,1052.282,0.7112,doped PBTTT
678,1053.246,0.7064,doped PBTTT
679,1054.21,0.7017,doped PBTTT
680,1055.175,0.6972,doped PBTTT
681,1056.139,0.6929,doped PBTTT
682,1057.103,0.6887,doped PBTTT
683,1058.067,0.6848,doped PBTTT
684,1059.032,0.6809,doped PBTTT
685,1059.996,0.6772,doped PBTTT
686,1060.96,0.6735,doped PBTTT
687,1061.924,0.6698,doped PBTTT
